timestamp,model_name,checkpoint_path,category,train_norm,init,attack_norm,epsilon_input,epsilon_eval,attack_steps,attack_step,clean_top1,clean_top5,adv_top1,adv_top5,clean_loss,adv_loss,state_dict_used,_source_csv,_model_dir_name,l1_step_mode,l1_apgd_rho,model_dir,is_baseline,_parsed_category,_parsed_train_norm,_parsed_train_family,_parsed_init,_parsed_train_eps,train_family,train_eps,pgd_constrained_eps,model_id,eval_variant,model_label,plot_category
2026-02-16T07:19:38,model_best,results/models/convnext_small_l2trades_1_init1/model_best.pth.tar,trades,l2,1,l1,1.0,127.5,10,25.5,77.874,93.416,45.0600012890625,76.21200240234376,1.0348474890708923,2.789905190429688,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init1/pgd_validation_results.csv,convnext_small_l2trades_1_init1,,,convnext_small_l2trades_1_init1,False,trades,l2,l2,1,1.0,l2,1.0,127.5,convnext_small_l2trades_1_init1,l1,eps=1 init 1,trades
2026-02-16T07:42:50,model_best,results/models/convnext_small_l2trades_1_init1/model_best.pth.tar,trades,l2,1,l1,2.0,255.0,10,51.0,77.874,93.416,26.132000736694337,57.16600153076172,1.0348474890708923,4.714388343811035,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init1/pgd_validation_results.csv,convnext_small_l2trades_1_init1,,,convnext_small_l2trades_1_init1,False,trades,l2,l2,1,1.0,l2,1.0,255.0,convnext_small_l2trades_1_init1,l1,eps=1 init 1,trades
2026-02-16T08:06:00,model_best,results/models/convnext_small_l2trades_1_init1/model_best.pth.tar,trades,l2,1,l1,4.0,510.0,10,102.0,77.874,93.416,12.756000367126465,33.76000093505859,1.0348474890708923,7.2686164645385745,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init1/pgd_validation_results.csv,convnext_small_l2trades_1_init1,,,convnext_small_l2trades_1_init1,False,trades,l2,l2,1,1.0,l2,1.0,510.0,convnext_small_l2trades_1_init1,l1,eps=1 init 1,trades
2026-02-16T08:29:11,model_best,results/models/convnext_small_l2trades_1_init1/model_best.pth.tar,trades,l2,1,l1,8.0,1020.0,10,204.0,77.874,93.416,6.658000207214355,18.62800058166504,1.0348474890708923,8.932681741638184,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init1/pgd_validation_results.csv,convnext_small_l2trades_1_init1,,,convnext_small_l2trades_1_init1,False,trades,l2,l2,1,1.0,l2,1.0,1020.0,convnext_small_l2trades_1_init1,l1,eps=1 init 1,trades
2026-02-16T08:52:18,model_best,results/models/convnext_small_l2trades_1_init1/model_best.pth.tar,trades,l2,1,l1,16.0,2040.0,10,408.0,77.874,93.416,4.772000141601563,15.588000485534668,1.0348474890708923,9.13280725769043,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init1/pgd_validation_results.csv,convnext_small_l2trades_1_init1,,,convnext_small_l2trades_1_init1,False,trades,l2,l2,1,1.0,l2,1.0,2040.0,convnext_small_l2trades_1_init1,l1,eps=1 init 1,trades
2026-02-12T03:55:39,model_best,results/models/convnext_small_l2trades_1_init2/model_best.pth.tar,trades,l2,2,linf,1.0,0.0039215686274509,10,0.0007843137254901,77.2,93.046,73.13200240722657,91.57400263671876,0.9632071818161012,1.1452949982833862,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init2/pgd_validation_results.csv,convnext_small_l2trades_1_init2,,,convnext_small_l2trades_1_init2,False,trades,l2,l2,2,1.0,l2,1.0,0.00392156862745098,convnext_small_l2trades_1_init2,linf,eps=1 init 2,trades
2026-02-12T04:18:22,model_best,results/models/convnext_small_l2trades_1_init2/model_best.pth.tar,trades,l2,2,linf,2.0,0.0078431372549019,10,0.0015686274509803,77.2,93.046,69.33600197753906,90.07400241210938,0.9632071818161012,1.3313925377464295,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init2/pgd_validation_results.csv,convnext_small_l2trades_1_init2,,,convnext_small_l2trades_1_init2,False,trades,l2,l2,2,1.0,l2,1.0,0.00784313725490196,convnext_small_l2trades_1_init2,linf,eps=1 init 2,trades
2026-02-12T04:41:01,model_best,results/models/convnext_small_l2trades_1_init2/model_best.pth.tar,trades,l2,2,linf,4.0,0.0156862745098039,10,0.0031372549019607,77.2,93.046,60.96200155273438,86.572002421875,0.9632071818161012,1.773947332687378,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init2/pgd_validation_results.csv,convnext_small_l2trades_1_init2,,,convnext_small_l2trades_1_init2,False,trades,l2,l2,2,1.0,l2,1.0,0.01568627450980392,convnext_small_l2trades_1_init2,linf,eps=1 init 2,trades
2026-02-12T05:03:46,model_best,results/models/convnext_small_l2trades_1_init2/model_best.pth.tar,trades,l2,2,linf,8.0,0.0313725490196078,10,0.0062745098039215,77.2,93.046,42.85600135498047,77.31200256835938,0.9632071818161012,3.0135288776397706,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init2/pgd_validation_results.csv,convnext_small_l2trades_1_init2,,,convnext_small_l2trades_1_init2,False,trades,l2,l2,2,1.0,l2,1.0,0.03137254901960784,convnext_small_l2trades_1_init2,linf,eps=1 init 2,trades
2026-02-12T05:26:28,model_best,results/models/convnext_small_l2trades_1_init2/model_best.pth.tar,trades,l2,2,linf,16.0,0.0627450980392156,10,0.0125490196078431,77.2,93.046,17.310000504760744,52.346001484375,0.9632071818161012,6.516394162597656,state_dict_ema,/groups/golan_neurogroup/bml_group/tomerash/advmodels/results/models/convnext_small_l2trades_1_init2/pgd_validation_results.csv,convnext_small_l2trades_1_init2,,,convnext_small_l2trades_1_init2,False,trades,l2,l2,2,1.0,l2,1.0,0.06274509803921569,convnext_small_l2trades_1_init2,linf,eps=1 init 2,trades
