model_name,arch,init,protocol,init_mode,epoch_variant,dependency_model_name,threat_norm,threat_eps,priority,is_test,notes,resume_offset_assumed,model,model.experiment_name,model.experiment_num,model.v1_noise_mode,model.compile_model,output_dir,training.epochs,training.batch_size,attacks.advtrain,attacks.attack_criterion,attacks.attack_norm,attacks.attack_domain,attacks.attack_eps,attacks.attack_it,attacks.v1_attack_eps,attacks.gradnorm,attacks.gradnorm_penalty_norm,dataset.dvd.enabled,dataset.dvd.variant,continuation.enabled,continuation.use_ema,checkpointing.save_best_adv,epsilon_schedule.enabled,epsilon_schedule.type,epsilon_schedule.source_epsilon,epsilon_schedule.target_epsilon,epsilon_schedule.warmup_epochs,epsilon_schedule.ramp_start_epoch,epsilon_schedule.ramp_end_epoch,epsilon_schedule.fixed_start_epoch,dataset.mixup_active,optimizer.weight_decay,lr_scheduler.lrb,lr_scheduler.warmup_epochs
convnext_base_dvd_b_linftrades_4_init1,convnext_base,1,trades,scratch,,,linf,4,5047,,trades+dvd_b linf eps4 scratch,,convnext_base,convnext_base_dvd_b_linftrades_4_init1,1,,,results/models,200,256,True,trades,linf,,4,5,,,,true,dvd-b,,,true,,,,,,,,,,,1e-4,
convnext_base_dvd_b_linftrades_cont4to6_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init1,linf,6,5051,,cont 4->6 from convnext_base_dvd_b_linftrades_4_init1 (resume),200,convnext_base,convnext_base_dvd_b_linftrades_cont4to6_init1_contepoch,1,,,results/models,240,256,True,trades,linf,,6,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,230,231,,,1e-4,
convnext_base_dvd_b_linftrades_cont4to8_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init1,linf,8,5052,,cont 4->8 from convnext_base_dvd_b_linftrades_4_init1 (resume),200,convnext_base,convnext_base_dvd_b_linftrades_cont4to8_init1_contepoch,1,,,results/models,240,256,True,trades,linf,,8,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,230,231,,,1e-4,
convnext_base_v1_l2_1_init1,convnext_base,1,v1,scratch,,,l2,1,6006,,v1 l2 eps1 scratch,,convnext_base_v1,convnext_base_v1_l2_1_init1,1,null,,results/models,150,256,True,madry,l2,v1_feature,,,1,,,,,,,true,,,,,,,,,,,,
convnext_base_v1_l2_4_init1,convnext_base,1,v1,scratch,,,l2,4,6008,,v1 l2 eps4 scratch,,convnext_base_v1,convnext_base_v1_l2_4_init1,1,null,,results/models,150,256,True,madry,l2,v1_feature,,,4,,,,,,,true,,,,,,,,,,,,
convnext_base_v1_l2_cont4to6_init1,convnext_base,1,v1,continuation,,convnext_base_v1_l2_4_init1,l2,6,6009,,v1 cont 4->6 from convnext_base_v1_l2_4_init1,,convnext_base_v1,convnext_base_v1_l2_cont4to6_init1,1,null,,results/models,40,256,True,madry,l2,v1_feature,,,6,,,,,true,true,true,true,warmup_ramp_fixed,4,6,4,5,30,31,,,1e-4,
convnext_base_v1_l2_cont4to8_init1,convnext_base,1,v1,continuation,,convnext_base_v1_l2_4_init1,l2,8,6010,,v1 cont 4->8 from convnext_base_v1_l2_4_init1,,convnext_base_v1,convnext_base_v1_l2_cont4to8_init1,1,null,,results/models,40,256,True,madry,l2,v1_feature,,,8,,,,,true,true,true,true,warmup_ramp_fixed,4,8,4,5,30,31,,,1e-4,
convnext_base_v1_clean_init0,convnext_base,0,v1_clean,scratch,,,,,6012,,"clean v1 (no adv, no noise)",,convnext_base_v1,convnext_base_v1_clean_init0,0,null,,results/models,150,256,False,,,,,,,,,,,,,,,,,,,,,,,,,
convnext_base_v1_clean_init1,convnext_base,1,v1_clean,scratch,,,,,6014,,"clean v1 (no adv, no noise)",,convnext_base_v1,convnext_base_v1_clean_init1,1,null,,results/models,150,256,False,,,,,,,,,,,,,,,,,,,,,,,,,
convnext_base_v1_noise_init1,convnext_base,1,v1_noise,scratch,,,,,6015,,"clean v1 + V1 noise (neuronal), no adv",,convnext_base_v1,convnext_base_v1_noise_init1,1,neuronal,,results/models,150,256,False,,,,,,,,,,,,,,,,,,,,,,,,,
convnext_base_gradnorm_l1_4_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,4,7002,,gradnorm l1 eps4 resume from convnext_base_baseline_init0 (150->200),150,convnext_base,convnext_base_gradnorm_l1_4_init0,0,,,results/models,200,256,False,,,,4,,,True,l1,,,,,true,,,,,,,,,,,,
convnext_base_gradnorm_l1_6_init0,convnext_base,0,gradnorm,resume,,convnext_base_baseline_init0,linf,6,7003,,gradnorm l1 eps6 resume from convnext_base_baseline_init0 (150->200),150,convnext_base,convnext_base_gradnorm_l1_6_init0,0,,,results/models,200,256,False,,,,6,,,True,l1,,,,,true,,,,,,,,,,,,
convnext_base_gradnorm_l1_1_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,1,7006,,gradnorm l1 eps1 resume from convnext_base_baseline_init1 (150->200),150,convnext_base,convnext_base_gradnorm_l1_1_init1,1,,,results/models,200,256,False,,,,1,,,True,l1,,,,,true,,,,,,,,,,,,
convnext_base_gradnorm_l1_2_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,2,7007,,gradnorm l1 eps2 resume from convnext_base_baseline_init1 (150->200),150,convnext_base,convnext_base_gradnorm_l1_2_init1,1,,,results/models,200,256,False,,,,2,,,True,l1,,,,,true,,,,,,,,,,,,
convnext_base_gradnorm_l1_4_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,4,7008,,gradnorm l1 eps4 resume from convnext_base_baseline_init1 (150->200),150,convnext_base,convnext_base_gradnorm_l1_4_init1,1,,,results/models,200,256,False,,,,4,,,True,l1,,,,,true,,,,,,,,,,,,
convnext_base_gradnorm_l1_6_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,6,7009,,gradnorm l1 eps6 resume from convnext_base_baseline_init1 (150->200),150,convnext_base,convnext_base_gradnorm_l1_6_init1,1,,,results/models,200,256,False,,,,6,,,True,l1,,,,,true,,,,,,,,,,,,
convnext_base_gradnorm_l1_8_init1,convnext_base,1,gradnorm,resume,,convnext_base_baseline_init1,linf,8,7010,,gradnorm l1 eps8 resume from convnext_base_baseline_init1 (150->200),150,convnext_base,convnext_base_gradnorm_l1_8_init1,1,,,results/models,200,256,False,,,,8,,,True,l1,,,,,true,,,,,,,,,,,,
